startStationCode,startStationName,endStationCode,endStationName,prevStationCode,prevStationName,updnLine,directAt,dow,hh,mm,congestionCar_0,congestionCar_1,congestionCar_2,congestionCar_3,congestionCar_4,congestionCar_5,congestionCar_6,congestionCar_7,congestionCar_8,congestionCar_9
409,당고개역,453,안산역,443,금정역,1,0,FRI,10,00,8,10,11,14,15,11,11,8,6.0,7.0
409,당고개역,453,안산역,443,금정역,1,0,FRI,10,10,7,10,10,11,16,13,12,8,4.0,9.0
409,당고개역,453,안산역,443,금정역,1,0,FRI,10,20,10,10,9,16,15,15,15,6,6.0,8.0
409,당고개역,453,안산역,443,금정역,1,0,FRI,10,30,7,16,17,18,23,15,7,7,10.0,10.0
409,당고개역,453,안산역,443,금정역,1,0,FRI,10,40,5,5,6,9,8,12,6,4,3.0,3.0
409,당고개역,453,안산역,443,금정역,1,0,FRI,10,50,5,9,11,12,16,12,9,5,6.0,6.0
409,당고개역,456,오이도역,443,금정역,1,0,FRI,10,00,6,8,9,11,12,8,8,7,5.0,6.0
409,당고개역,456,오이도역,443,금정역,1,0,FRI,10,10,8,12,12,14,19,16,15,9,4.0,11.0
409,당고개역,456,오이도역,443,금정역,1,0,FRI,10,20,12,12,10,19,18,18,17,8,8.0,9.0
409,당고개역,456,오이도역,443,금정역,1,0,FRI,10,30,6,12,13,14,18,12,5,5,8.0,8.0
409,당고개역,456,오이도역,443,금정역,1,0,FRI,10,40,11,11,14,21,19,27,15,9,6.0,7.0
409,당고개역,456,오이도역,443,금정역,1,0,FRI,10,50,6,11,15,16,21,16,12,7,8.0,8.0
409,당고개역,456,오이도역,443,금정역,1,1,FRI,10,00,7,9,10,12,14,9,9,7,5.0,7.0
409,당고개역,456,오이도역,443,금정역,1,1,FRI,10,10,7,11,11,13,17,15,13,9,4.0,10.0
409,당고개역,456,오이도역,443,금정역,1,1,FRI,10,20,10,10,9,16,15,15,15,6,6.0,8.0
409,당고개역,456,오이도역,443,금정역,1,1,FRI,10,30,5,11,12,12,16,10,5,5,7.0,7.0
409,당고개역,456,오이도역,443,금정역,1,1,FRI,10,40,8,8,11,16,15,21,12,7,5.0,6.0
409,당고개역,456,오이도역,443,금정역,1,1,FRI,10,50,5,9,11,12,16,12,9,5,6.0,6.0
411,노원역,456,오이도역,443,금정역,1,0,FRI,10,00,7,9,10,12,14,9,9,7,5.0,7.0
411,노원역,456,오이도역,443,금정역,1,0,FRI,10,10,7,11,11,13,17,15,13,9,4.0,10.0
411,노원역,456,오이도역,443,금정역,1,0,FRI,10,20,10,10,9,16,15,15,15,6,6.0,8.0
411,노원역,456,오이도역,443,금정역,1,0,FRI,10,30,5,11,12,12,16,10,5,5,7.0,7.0
411,노원역,456,오이도역,443,금정역,1,0,FRI,10,40,8,8,11,16,15,21,12,7,5.0,6.0
411,노원역,456,오이도역,443,금정역,1,0,FRI,10,50,5,9,11,12,16,12,9,5,6.0,6.0
412,창동역,456,오이도역,443,금정역,1,0,FRI,10,00,7,9,10,12,14,9,9,7,5.0,7.0
412,창동역,456,오이도역,443,금정역,1,0,FRI,10,10,7,11,11,13,17,15,13,9,4.0,10.0
412,창동역,456,오이도역,443,금정역,1,0,FRI,10,20,10,10,9,16,15,15,15,6,6.0,8.0
412,창동역,456,오이도역,443,금정역,1,0,FRI,10,30,5,11,12,12,16,10,5,5,7.0,7.0
412,창동역,456,오이도역,443,금정역,1,0,FRI,10,40,8,8,11,16,15,21,12,7,5.0,6.0
412,창동역,456,오이도역,443,금정역,1,0,FRI,10,50,5,9,11,12,16,12,9,5,6.0,6.0
419,한성대입구역,456,오이도역,443,금정역,1,0,FRI,10,00,7,9,10,12,14,9,9,7,5.0,7.0
419,한성대입구역,456,오이도역,443,금정역,1,0,FRI,10,10,7,11,11,13,17,15,13,9,4.0,10.0
419,한성대입구역,456,오이도역,443,금정역,1,0,FRI,10,20,10,10,9,16,15,15,15,6,6.0,8.0
419,한성대입구역,456,오이도역,443,금정역,1,0,FRI,10,30,5,11,12,12,16,10,5,5,7.0,7.0
419,한성대입구역,456,오이도역,443,금정역,1,0,FRI,10,40,8,8,11,16,15,21,12,7,5.0,6.0
419,한성대입구역,456,오이도역,443,금정역,1,0,FRI,10,50,5,9,11,12,16,12,9,5,6.0,6.0
433,사당역,456,오이도역,443,금정역,1,0,FRI,10,00,7,9,10,12,14,9,9,7,5.0,7.0
433,사당역,456,오이도역,443,금정역,1,0,FRI,10,10,7,11,11,13,17,15,13,9,4.0,10.0
433,사당역,456,오이도역,443,금정역,1,0,FRI,10,20,10,10,9,16,15,15,15,6,6.0,8.0
433,사당역,456,오이도역,443,금정역,1,0,FRI,10,30,5,11,12,12,16,10,5,5,7.0,7.0
433,사당역,456,오이도역,443,금정역,1,0,FRI,10,40,8,8,11,16,15,21,12,7,5.0,6.0
433,사당역,456,오이도역,443,금정역,1,0,FRI,10,50,5,9,11,12,16,12,9,5,6.0,6.0
443,금정역,456,오이도역,443,금정역,1,0,FRI,10,00,7,9,10,12,14,9,9,7,5.0,7.0
443,금정역,456,오이도역,443,금정역,1,0,FRI,10,10,7,11,11,13,17,15,13,9,4.0,10.0
443,금정역,456,오이도역,443,금정역,1,0,FRI,10,20,10,10,9,16,15,15,15,6,6.0,8.0
443,금정역,456,오이도역,443,금정역,1,0,FRI,10,30,5,11,12,12,16,10,5,5,7.0,7.0
443,금정역,456,오이도역,443,금정역,1,0,FRI,10,40,8,8,11,16,15,21,12,7,5.0,6.0
443,금정역,456,오이도역,443,금정역,1,0,FRI,10,50,5,9,11,12,16,12,9,5,6.0,6.0
453,안산역,409,당고개역,445,수리산역,0,0,FRI,10,00,17,19,30,22,23,23,21,26,22.0,27.0
453,안산역,409,당고개역,445,수리산역,0,0,FRI,10,10,24,24,24,26,37,31,28,24,26.0,27.0
453,안산역,409,당고개역,445,수리산역,0,0,FRI,10,20,12,22,24,30,23,23,22,19,22.0,23.0
453,안산역,409,당고개역,445,수리산역,0,0,FRI,10,30,18,20,19,17,24,21,21,24,26.0,21.0
453,안산역,409,당고개역,445,수리산역,0,0,FRI,10,40,16,21,24,31,22,22,25,19,30.0,21.0
453,안산역,409,당고개역,445,수리산역,0,0,FRI,10,50,18,23,24,19,16,28,21,18,18.0,14.0
456,오이도역,409,당고개역,445,수리산역,0,0,FRI,10,00,19,21,34,25,26,26,24,29,25.0,31.0
456,오이도역,409,당고개역,445,수리산역,0,0,FRI,10,10,24,24,24,26,37,31,28,24,26.0,27.0
456,오이도역,409,당고개역,445,수리산역,0,0,FRI,10,20,13,24,26,33,25,25,24,21,24.0,25.0
456,오이도역,409,당고개역,445,수리산역,0,0,FRI,10,30,19,22,20,19,26,23,23,27,28.0,24.0
456,오이도역,409,당고개역,445,수리산역,0,0,FRI,10,40,18,23,27,35,25,24,28,22,34.0,23.0
456,오이도역,409,당고개역,445,수리산역,0,0,FRI,10,50,18,23,24,19,16,28,21,18,18.0,14.0
456,오이도역,409,당고개역,448,상록수역,0,1,FRI,10,00,22,15,21,31,23,18,27,23,28.0,21.0
456,오이도역,409,당고개역,448,상록수역,0,1,FRI,10,10,25,18,25,36,27,22,32,27,33.0,25.0
456,오이도역,409,당고개역,448,상록수역,0,1,FRI,10,20,21,15,20,30,22,18,26,22,27.0,20.0
456,오이도역,409,당고개역,448,상록수역,0,1,FRI,10,30,20,14,19,28,21,17,25,21,26.0,19.0
456,오이도역,409,당고개역,448,상록수역,0,1,FRI,10,40,22,15,21,31,23,18,27,23,28.0,21.0
456,오이도역,409,당고개역,448,상록수역,0,1,FRI,10,50,19,13,18,27,20,16,24,20,25.0,18.0
456,오이도역,419,한성대입구역,445,수리산역,0,0,FRI,10,00,17,19,30,22,23,23,21,26,22.0,27.0
456,오이도역,419,한성대입구역,445,수리산역,0,0,FRI,10,10,24,24,24,26,37,31,28,24,26.0,27.0
456,오이도역,419,한성대입구역,445,수리산역,0,0,FRI,10,20,12,22,24,30,23,23,22,19,22.0,23.0
456,오이도역,419,한성대입구역,445,수리산역,0,0,FRI,10,30,18,20,19,17,24,21,21,24,26.0,21.0
456,오이도역,419,한성대입구역,445,수리산역,0,0,FRI,10,40,16,21,24,31,22,22,25,19,30.0,21.0
456,오이도역,419,한성대입구역,445,수리산역,0,0,FRI,10,50,18,23,24,19,16,28,21,18,18.0,14.0
456,오이도역,443,금정역,445,수리산역,0,0,FRI,10,00,17,19,30,22,23,23,21,26,22.0,27.0
456,오이도역,443,금정역,445,수리산역,0,0,FRI,10,10,24,24,24,26,37,31,28,24,26.0,27.0
456,오이도역,443,금정역,445,수리산역,0,0,FRI,10,20,12,22,24,30,23,23,22,19,22.0,23.0
456,오이도역,443,금정역,445,수리산역,0,0,FRI,10,30,18,20,19,17,24,21,21,24,26.0,21.0
456,오이도역,443,금정역,445,수리산역,0,0,FRI,10,40,16,21,24,31,22,22,25,19,30.0,21.0
456,오이도역,443,금정역,445,수리산역,0,0,FRI,10,50,18,23,24,19,16,28,21,18,18.0,14.0
409,당고개역,453,안산역,444,산본역,1,0,FRI,10,00,6,6,8,14,16,11,8,8,8.0,7.0
409,당고개역,453,안산역,444,산본역,1,0,FRI,10,10,6,9,10,13,14,10,12,8,4.0,5.0
409,당고개역,453,안산역,444,산본역,1,0,FRI,10,20,10,9,9,12,13,10,12,5,4.0,7.0
409,당고개역,453,안산역,444,산본역,1,0,FRI,10,30,3,10,14,21,15,15,9,7,9.0,7.0
409,당고개역,453,안산역,444,산본역,1,0,FRI,10,40,8,10,12,16,14,20,12,8,4.0,6.0
409,당고개역,453,안산역,444,산본역,1,0,FRI,10,50,3,4,7,7,8,7,5,3,2.0,3.0
409,당고개역,456,오이도역,444,산본역,1,0,FRI,10,00,5,5,6,11,12,9,6,6,6.0,5.0
409,당고개역,456,오이도역,444,산본역,1,0,FRI,10,10,6,10,11,14,15,11,13,9,4.0,6.0
409,당고개역,456,오이도역,444,산본역,1,0,FRI,10,20,14,13,13,17,18,14,17,8,6.0,10.0
409,당고개역,456,오이도역,444,산본역,1,0,FRI,10,30,3,8,12,17,12,12,7,6,7.0,6.0
409,당고개역,456,오이도역,444,산본역,1,0,FRI,10,40,9,11,13,17,15,22,14,8,4.0,6.0
409,당고개역,456,오이도역,444,산본역,1,0,FRI,10,50,6,10,15,16,18,16,11,6,5.0,7.0
411,노원역,456,오이도역,444,산본역,1,0,FRI,10,00,5,5,7,12,14,10,7,7,7.0,6.0
411,노원역,456,오이도역,444,산본역,1,0,FRI,10,10,6,9,10,13,14,10,12,8,4.0,5.0
411,노원역,456,오이도역,444,산본역,1,0,FRI,10,20,11,10,10,13,14,11,13,6,4.0,8.0
411,노원역,456,오이도역,444,산본역,1,0,FRI,10,30,2,7,10,15,11,11,6,5,6.0,5.0
411,노원역,456,오이도역,444,산본역,1,0,FRI,10,40,7,9,11,14,13,18,11,7,4.0,5.0
411,노원역,456,오이도역,444,산본역,1,0,FRI,10,50,4,6,10,10,12,10,7,4,3.0,5.0
412,창동역,456,오이도역,444,산본역,1,0,FRI,10,00,5,5,7,12,14,10,7,7,7.0,6.0
412,창동역,456,오이도역,444,산본역,1,0,FRI,10,10,6,9,10,13,14,10,12,8,4.0,5.0
412,창동역,456,오이도역,444,산본역,1,0,FRI,10,20,11,10,10,13,14,11,13,6,4.0,8.0
412,창동역,456,오이도역,444,산본역,1,0,FRI,10,30,2,7,10,15,11,11,6,5,6.0,5.0
412,창동역,456,오이도역,444,산본역,1,0,FRI,10,40,7,9,11,14,13,18,11,7,4.0,5.0
412,창동역,456,오이도역,444,산본역,1,0,FRI,10,50,4,6,10,10,12,10,7,4,3.0,5.0
419,한성대입구역,456,오이도역,444,산본역,1,0,FRI,10,00,5,5,7,12,14,10,7,7,7.0,6.0
419,한성대입구역,456,오이도역,444,산본역,1,0,FRI,10,10,6,9,10,13,14,10,12,8,4.0,5.0
419,한성대입구역,456,오이도역,444,산본역,1,0,FRI,10,20,11,10,10,13,14,11,13,6,4.0,8.0
419,한성대입구역,456,오이도역,444,산본역,1,0,FRI,10,30,2,7,10,15,11,11,6,5,6.0,5.0
419,한성대입구역,456,오이도역,444,산본역,1,0,FRI,10,40,7,9,11,14,13,18,11,7,4.0,5.0
419,한성대입구역,456,오이도역,444,산본역,1,0,FRI,10,50,4,6,10,10,12,10,7,4,3.0,5.0
433,사당역,456,오이도역,444,산본역,1,0,FRI,10,00,5,5,7,12,14,10,7,7,7.0,6.0
433,사당역,456,오이도역,444,산본역,1,0,FRI,10,10,6,9,10,13,14,10,12,8,4.0,5.0
433,사당역,456,오이도역,444,산본역,1,0,FRI,10,20,11,10,10,13,14,11,13,6,4.0,8.0
433,사당역,456,오이도역,444,산본역,1,0,FRI,10,30,2,7,10,15,11,11,6,5,6.0,5.0
433,사당역,456,오이도역,444,산본역,1,0,FRI,10,40,7,9,11,14,13,18,11,7,4.0,5.0
433,사당역,456,오이도역,444,산본역,1,0,FRI,10,50,4,6,10,10,12,10,7,4,3.0,5.0
443,금정역,456,오이도역,444,산본역,1,0,FRI,10,00,5,5,7,12,14,10,7,7,7.0,6.0
443,금정역,456,오이도역,444,산본역,1,0,FRI,10,10,6,9,10,13,14,10,12,8,4.0,5.0
443,금정역,456,오이도역,444,산본역,1,0,FRI,10,20,11,10,10,13,14,11,13,6,4.0,8.0
443,금정역,456,오이도역,444,산본역,1,0,FRI,10,30,2,7,10,15,11,11,6,5,6.0,5.0
443,금정역,456,오이도역,444,산본역,1,0,FRI,10,40,7,9,11,14,13,18,11,7,4.0,5.0
443,금정역,456,오이도역,444,산본역,1,0,FRI,10,50,4,6,10,10,12,10,7,4,3.0,5.0
453,안산역,409,당고개역,446,대야미역,0,0,FRI,10,00,17,18,29,21,23,23,19,23,21.0,25.0
453,안산역,409,당고개역,446,대야미역,0,0,FRI,10,10,22,22,23,23,30,25,26,21,25.0,25.0
453,안산역,409,당고개역,446,대야미역,0,0,FRI,10,20,9,18,22,26,20,21,17,15,15.0,18.0
453,안산역,409,당고개역,446,대야미역,0,0,FRI,10,30,17,20,19,17,23,18,19,22,23.0,20.0
453,안산역,409,당고개역,446,대야미역,0,0,FRI,10,40,18,24,25,29,22,24,23,22,31.0,22.0
453,안산역,409,당고개역,446,대야미역,0,0,FRI,10,50,16,22,26,21,17,31,23,13,17.0,15.0
456,오이도역,409,당고개역,446,대야미역,0,0,FRI,10,00,19,20,32,23,25,25,21,25,23.0,27.0
456,오이도역,409,당고개역,446,대야미역,0,0,FRI,10,10,24,23,24,24,32,27,28,23,27.0,27.0
456,오이도역,409,당고개역,446,대야미역,0,0,FRI,10,20,10,20,24,29,22,23,19,16,17.0,20.0
456,오이도역,409,당고개역,446,대야미역,0,0,FRI,10,30,19,22,21,19,26,20,21,24,26.0,22.0
456,오이도역,409,당고개역,446,대야미역,0,0,FRI,10,40,18,24,25,29,22,24,23,22,31.0,22.0
456,오이도역,409,당고개역,446,대야미역,0,0,FRI,10,50,16,22,26,21,17,31,23,13,17.0,15.0
456,오이도역,419,한성대입구역,446,대야미역,0,0,FRI,10,00,17,18,29,21,23,23,19,23,21.0,25.0
456,오이도역,419,한성대입구역,446,대야미역,0,0,FRI,10,10,22,22,23,23,30,25,26,21,25.0,25.0
456,오이도역,419,한성대입구역,446,대야미역,0,0,FRI,10,20,9,18,22,26,20,21,17,15,15.0,18.0
456,오이도역,419,한성대입구역,446,대야미역,0,0,FRI,10,30,17,20,19,17,23,18,19,22,23.0,20.0
456,오이도역,419,한성대입구역,446,대야미역,0,0,FRI,10,40,18,24,25,29,22,24,23,22,31.0,22.0
456,오이도역,419,한성대입구역,446,대야미역,0,0,FRI,10,50,16,22,26,21,17,31,23,13,17.0,15.0
456,오이도역,443,금정역,446,대야미역,0,0,FRI,10,00,17,18,29,21,23,23,19,23,21.0,25.0
456,오이도역,443,금정역,446,대야미역,0,0,FRI,10,10,22,22,23,23,30,25,26,21,25.0,25.0
456,오이도역,443,금정역,446,대야미역,0,0,FRI,10,20,9,18,22,26,20,21,17,15,15.0,18.0
456,오이도역,443,금정역,446,대야미역,0,0,FRI,10,30,17,20,19,17,23,18,19,22,23.0,20.0
456,오이도역,443,금정역,446,대야미역,0,0,FRI,10,40,18,24,25,29,22,24,23,22,31.0,22.0
456,오이도역,443,금정역,446,대야미역,0,0,FRI,10,50,16,22,26,21,17,31,23,13,17.0,15.0
409,당고개역,453,안산역,445,수리산역,1,0,FRI,10,00,6,6,10,12,16,13,8,9,6.0,3.0
409,당고개역,453,안산역,445,수리산역,1,0,FRI,10,10,5,7,7,11,10,9,8,5,4.0,5.0
409,당고개역,453,안산역,445,수리산역,1,0,FRI,10,20,10,9,10,9,17,11,15,8,5.0,8.0
409,당고개역,453,안산역,445,수리산역,1,0,FRI,10,30,4,11,14,20,11,11,9,8,7.0,4.0
409,당고개역,453,안산역,445,수리산역,1,0,FRI,10,40,2,8,9,14,14,10,9,7,4.0,5.0
409,당고개역,453,안산역,445,수리산역,1,0,FRI,10,50,5,5,7,8,8,10,7,3,2.0,3.0
409,당고개역,456,오이도역,445,수리산역,1,0,FRI,10,00,6,6,10,12,16,13,8,9,6.0,3.0
409,당고개역,456,오이도역,445,수리산역,1,0,FRI,10,10,6,9,9,14,13,11,11,6,5.0,7.0
409,당고개역,456,오이도역,445,수리산역,1,0,FRI,10,20,12,10,11,10,20,14,18,10,6.0,9.0
409,당고개역,456,오이도역,445,수리산역,1,0,FRI,10,30,4,11,14,20,11,11,9,8,7.0,4.0
409,당고개역,456,오이도역,445,수리산역,1,0,FRI,10,40,2,11,12,19,19,14,13,9,5.0,7.0
409,당고개역,456,오이도역,445,수리산역,1,0,FRI,10,50,8,9,12,14,14,17,11,5,4.0,6.0
411,노원역,456,오이도역,445,수리산역,1,0,FRI,10,00,6,6,10,12,16,13,8,9,6.0,3.0
411,노원역,456,오이도역,445,수리산역,1,0,FRI,10,10,6,8,8,12,12,10,10,6,4.0,6.0
411,노원역,456,오이도역,445,수리산역,1,0,FRI,10,20,10,9,10,9,17,11,15,8,5.0,8.0
411,노원역,456,오이도역,445,수리산역,1,0,FRI,10,30,4,10,13,18,10,10,8,7,6.0,4.0
411,노원역,456,오이도역,445,수리산역,1,0,FRI,10,40,2,10,11,17,17,13,12,8,4.0,6.0
411,노원역,456,오이도역,445,수리산역,1,0,FRI,10,50,6,7,10,11,11,13,9,4,3.0,5.0
412,창동역,456,오이도역,445,수리산역,1,0,FRI,10,00,6,6,10,12,16,13,8,9,6.0,3.0
412,창동역,456,오이도역,445,수리산역,1,0,FRI,10,10,6,8,8,12,12,10,10,6,4.0,6.0
412,창동역,456,오이도역,445,수리산역,1,0,FRI,10,20,10,9,10,9,17,11,15,8,5.0,8.0
412,창동역,456,오이도역,445,수리산역,1,0,FRI,10,30,4,10,13,18,10,10,8,7,6.0,4.0
412,창동역,456,오이도역,445,수리산역,1,0,FRI,10,40,2,10,11,17,17,13,12,8,4.0,6.0
